resume_id,name,education,major,resume_city,job_id,job_title,company,job_city,total_score,tfidf_score,word2vec_score,semantic_score,skill_score,education_score,experience_score,city_score,certificate_score,salary_score,matched_skills,missing_skills,matched_certificates,reason
R003,李同学,硕士,人工智能,杭州,J003,机器学习算法助理,杭城智能科技,杭州,87.68,39.39,98.66000366210938,66.06,100.0,100.0,100.0,100.0,100.0,100.0,python;机器学习;深度学习;数据挖掘;pandas,,英语六级,"共同技能包括 python, 机器学习, 深度学习, 数据挖掘, pandas；岗位要求技能基本覆盖；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 英语六级；文本语义相似度中等。"
R010,孙同学,硕士,计算机科学与技术,北京,J003,机器学习算法助理,杭城智能科技,杭州,64.85,19.85,97.88999938964844,54.97,40.0,100.0,100.0,60.0,100.0,100.0,python;深度学习,机器学习;数据挖掘;pandas,英语六级,"共同技能包括 python, 深度学习；缺少 机器学习, 数据挖掘, pandas，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语六级；文本语义相似度中等。"
R012,黄同学,本科,数据科学与大数据技术,深圳,J003,机器学习算法助理,杭城智能科技,杭州,61.96,45.14,82.2300033569336,61.83,40.0,70.0,100.0,60.0,60.0,100.0,python;机器学习,深度学习;数据挖掘;pandas,,"共同技能包括 python, 机器学习；缺少 深度学习, 数据挖掘, pandas，建议补充相关练习或项目经验；学历与岗位最低要求存在差距；经验满足岗位要求；期望城市与岗位城市不一致；岗位偏好证书匹配不足；文本语义相似度中等。"
R008,吴同学,本科,统计学,上海,J003,机器学习算法助理,杭城智能科技,杭州,55.91,11.92,89.51000213623047,46.84,40.0,70.0,75.0,60.0,100.0,100.0,python;机器学习,深度学习;数据挖掘;pandas,英语六级,"共同技能包括 python, 机器学习；缺少 深度学习, 数据挖掘, pandas，建议补充相关练习或项目经验；学历与岗位最低要求存在差距；经验年限略低于岗位要求；期望城市与岗位城市不一致；证书匹配 英语六级；文本语义相似度偏低。"
R007,周同学,本科,数据科学与大数据技术,杭州,J003,机器学习算法助理,杭城智能科技,杭州,46.09,0.99,59.2599983215332,27.21,20.0,70.0,100.0,100.0,60.0,100.0,python,机器学习;深度学习;数据挖掘;pandas,,"共同技能包括 python；缺少 机器学习, 深度学习, 数据挖掘, pandas，建议补充相关练习或项目经验；学历与岗位最低要求存在差距；经验满足岗位要求；期望城市与岗位城市一致；岗位偏好证书匹配不足；文本语义相似度偏低。"
R004,赵同学,大专,计算机应用技术,深圳,J004,Java 后端开发工程师,鹏城软件,深圳,85.38,55.1,99.7300033569336,75.18,80.0,100.0,100.0,100.0,100.0,100.0,java;springboot;mysql;linux,redis,计算机二级,"共同技能包括 java, springboot, mysql, linux；缺少 redis，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 计算机二级；文本语义相似度较高。"
R011,何同学,本科,软件工程,长沙,J004,Java 后端开发工程师,鹏城软件,深圳,81.3,54.96,99.4000015258789,74.96,80.0,100.0,100.0,60.0,60.0,100.0,java;springboot;mysql;redis,linux,,"共同技能包括 java, springboot, mysql, redis；缺少 linux，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；岗位偏好证书匹配不足；文本语义相似度中等。"
R002,王同学,本科,软件工程,南昌,J004,Java 后端开发工程师,鹏城软件,深圳,52.81,11.79,79.0,42.03,20.0,100.0,100.0,60.0,60.0,100.0,linux,java;springboot;mysql;redis,,"共同技能包括 linux；缺少 java, springboot, mysql, redis，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；岗位偏好证书匹配不足；文本语义相似度偏低。"
R006,刘同学,本科,网络工程,广州,J004,Java 后端开发工程师,鹏城软件,深圳,50.84,2.75,77.93000030517578,36.58,20.0,100.0,100.0,60.0,60.0,100.0,linux,java;springboot;mysql;redis,,"共同技能包括 linux；缺少 java, springboot, mysql, redis，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；岗位偏好证书匹配不足；文本语义相似度偏低。"
R012,黄同学,本科,数据科学与大数据技术,深圳,J004,Java 后端开发工程师,鹏城软件,深圳,50.49,8.21,78.9800033569336,40.06,0.0,100.0,100.0,100.0,100.0,100.0,,java;springboot;mysql;redis;linux,计算机二级,"岗位核心技能重合较少；缺少 java, springboot, mysql, redis, linux，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 计算机二级；文本语义相似度偏低。"
R009,郑同学,本科,电子商务,南昌,J005,数据产品运营实习生,赣江互联网,南昌,86.34,32.33,99.16000366210938,62.4,100.0,100.0,100.0,100.0,100.0,100.0,sql;excel;产品分析;用户研究;数据分析,,英语四级,"共同技能包括 sql, excel, 产品分析, 用户研究, 数据分析；岗位要求技能基本覆盖；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度中等。"
R001,张同学,本科,数据科学与大数据技术,南昌,J005,数据产品运营实习生,赣江互联网,南昌,71.66,17.88,95.19999694824219,52.67,60.0,100.0,100.0,100.0,100.0,100.0,sql;excel;数据分析,产品分析;用户研究,英语四级,"共同技能包括 sql, excel, 数据分析；缺少 产品分析, 用户研究，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度中等。"
R005,陈同学,本科,信息管理与信息系统,南昌,J005,数据产品运营实习生,赣江互联网,南昌,70.92,13.23,96.5199966430664,50.71,60.0,100.0,100.0,100.0,100.0,100.0,sql;excel;数据分析,产品分析;用户研究,英语四级,"共同技能包括 sql, excel, 数据分析；缺少 产品分析, 用户研究，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度中等。"
R012,黄同学,本科,数据科学与大数据技术,深圳,J005,数据产品运营实习生,赣江互联网,南昌,60.57,15.83,91.33999633789062,49.81,40.0,100.0,100.0,60.0,100.0,50.0,sql;数据分析,excel;产品分析;用户研究,英语四级,"共同技能包括 sql, 数据分析；缺少 excel, 产品分析, 用户研究，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度偏低。"
R002,王同学,本科,软件工程,南昌,J005,数据产品运营实习生,赣江互联网,南昌,57.47,12.67,90.54000091552734,47.71,20.0,100.0,100.0,100.0,100.0,75.0,sql,excel;产品分析;用户研究;数据分析,英语四级,"共同技能包括 sql；缺少 excel, 产品分析, 用户研究, 数据分析，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度偏低。"
R006,刘同学,本科,网络工程,广州,J006,数据采集与清洗工程师,岭南数据服务,广州,89.35,47.55,98.91999816894531,70.67,100.0,100.0,100.0,100.0,100.0,100.0,python;爬虫;数据清洗;sql;linux,,英语四级,"共同技能包括 python, 爬虫, 数据清洗, sql, linux；岗位要求技能基本覆盖；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度中等。"
R002,王同学,本科,软件工程,南昌,J006,数据采集与清洗工程师,岭南数据服务,广州,70.76,22.24,96.77999877929688,55.78,60.0,100.0,100.0,60.0,100.0,100.0,python;sql;linux,爬虫;数据清洗,英语四级,"共同技能包括 python, sql, linux；缺少 爬虫, 数据清洗，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度中等。"
R001,张同学,本科,数据科学与大数据技术,南昌,J006,数据采集与清洗工程师,岭南数据服务,广州,62.59,22.66,95.75,55.55,40.0,100.0,75.0,60.0,100.0,100.0,python;sql,爬虫;数据清洗;linux,英语四级,"共同技能包括 python, sql；缺少 爬虫, 数据清洗, linux，建议补充相关练习或项目经验；学历满足岗位要求；经验年限略低于岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度中等。"
R007,周同学,本科,数据科学与大数据技术,杭州,J006,数据采集与清洗工程师,岭南数据服务,广州,61.91,14.66,93.5,50.14,40.0,100.0,100.0,60.0,100.0,75.0,python;sql,爬虫;数据清洗;linux,英语四级,"共同技能包括 python, sql；缺少 爬虫, 数据清洗, linux，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度中等。"
R012,黄同学,本科,数据科学与大数据技术,深圳,J006,数据采集与清洗工程师,岭南数据服务,广州,61.81,16.49,90.44000244140625,49.77,40.0,100.0,100.0,60.0,100.0,75.0,python;sql,爬虫;数据清洗;linux,英语四级,"共同技能包括 python, sql；缺少 爬虫, 数据清洗, linux，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度偏低。"
R005,陈同学,本科,信息管理与信息系统,南昌,J007,BI 可视化分析师,星海零售集团,上海,80.63,41.31,99.76000213623047,67.61,80.0,100.0,100.0,60.0,100.0,100.0,sql;tableau;excel;统计分析,可视化,英语四级,"共同技能包括 sql, tableau, excel, 统计分析；缺少 可视化，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度中等。"
R001,张同学,本科,数据科学与大数据技术,南昌,J007,BI 可视化分析师,星海零售集团,上海,72.48,29.95,97.94999694824219,60.55,60.0,100.0,100.0,60.0,100.0,100.0,sql;excel;可视化,tableau;统计分析,英语四级,"共同技能包括 sql, excel, 可视化；缺少 tableau, 统计分析，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度中等。"
R009,郑同学,本科,电子商务,南昌,J007,BI 可视化分析师,星海零售集团,上海,63.49,13.1,97.7699966430664,51.2,40.0,100.0,100.0,60.0,100.0,100.0,sql;excel,tableau;统计分析;可视化,英语四级,"共同技能包括 sql, excel；缺少 tableau, 统计分析, 可视化，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度中等。"
R012,黄同学,本科,数据科学与大数据技术,深圳,J007,BI 可视化分析师,星海零售集团,上海,61.93,13.1,87.37999725341797,46.53,40.0,100.0,100.0,60.0,100.0,100.0,sql;可视化,tableau;excel;统计分析,英语四级,"共同技能包括 sql, 可视化；缺少 tableau, excel, 统计分析，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度偏低。"
R008,吴同学,本科,统计学,上海,J007,BI 可视化分析师,星海零售集团,上海,61.3,16.22,79.05999755859375,44.5,40.0,100.0,100.0,100.0,60.0,100.0,统计分析;可视化,sql;tableau;excel,,"共同技能包括 统计分析, 可视化；缺少 sql, tableau, excel，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；岗位偏好证书匹配不足；文本语义相似度偏低。"
R010,孙同学,硕士,计算机科学与技术,北京,J008,NLP 算法实习生,京北 AI 实验室,北京,90.06,50.43,99.80000305175781,72.65,100.0,100.0,100.0,100.0,100.0,100.0,python;nlp;深度学习;pytorch;文本分类,,英语六级,"共同技能包括 python, nlp, 深度学习, pytorch, 文本分类；岗位要求技能基本覆盖；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 英语六级；文本语义相似度中等。"
R003,李同学,硕士,人工智能,杭州,J008,NLP 算法实习生,京北 AI 实验室,北京,64.18,17.18,96.94999694824219,53.08,40.0,100.0,100.0,60.0,100.0,100.0,python;深度学习,nlp;pytorch;文本分类,英语六级,"共同技能包括 python, 深度学习；缺少 nlp, pytorch, 文本分类，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语六级；文本语义相似度中等。"
R008,吴同学,本科,统计学,上海,J008,NLP 算法实习生,京北 AI 实验室,北京,48.34,4.53,86.22000122070312,41.29,20.0,70.0,75.0,60.0,100.0,100.0,python,nlp;深度学习;pytorch;文本分类,英语六级,"共同技能包括 python；缺少 nlp, 深度学习, pytorch, 文本分类，建议补充相关练习或项目经验；学历与岗位最低要求存在差距；经验年限略低于岗位要求；期望城市与岗位城市不一致；证书匹配 英语六级；文本语义相似度偏低。"
R012,黄同学,本科,数据科学与大数据技术,深圳,J008,NLP 算法实习生,京北 AI 实验室,北京,46.83,1.16,77.30000305175781,35.42,20.0,70.0,100.0,60.0,60.0,100.0,python,nlp;深度学习;pytorch;文本分类,,"共同技能包括 python；缺少 nlp, 深度学习, pytorch, 文本分类，建议补充相关练习或项目经验；学历与岗位最低要求存在差距；经验满足岗位要求；期望城市与岗位城市不一致；岗位偏好证书匹配不足；文本语义相似度偏低。"
R006,刘同学,本科,网络工程,广州,J008,NLP 算法实习生,京北 AI 实验室,北京,43.9,1.17,57.7400016784668,26.63,20.0,70.0,100.0,60.0,60.0,100.0,python,nlp;深度学习;pytorch;文本分类,,"共同技能包括 python；缺少 nlp, 深度学习, pytorch, 文本分类，建议补充相关练习或项目经验；学历与岗位最低要求存在差距；经验满足岗位要求；期望城市与岗位城市不一致；岗位偏好证书匹配不足；文本语义相似度偏低。"
R007,周同学,本科,数据科学与大数据技术,杭州,J009,数据仓库开发实习生,湘江云计算,长沙,80.64,43.61,98.91000366210938,68.49,83.33,100.0,100.0,60.0,100.0,75.0,hive;spark;hadoop;sql;数据仓库,linux,英语四级,"共同技能包括 hive, spark, hadoop, sql, 数据仓库；缺少 linux，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度中等。"
R002,王同学,本科,软件工程,南昌,J009,数据仓库开发实习生,湘江云计算,长沙,74.46,30.02,98.58999633789062,60.88,66.67,100.0,100.0,60.0,100.0,100.0,spark;hadoop;sql;linux,hive;数据仓库,英语四级,"共同技能包括 spark, hadoop, sql, linux；缺少 hive, 数据仓库，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度中等。"
R012,黄同学,本科,数据科学与大数据技术,深圳,J009,数据仓库开发实习生,湘江云计算,长沙,60.01,10.83,90.05999755859375,46.48,33.33,100.0,100.0,60.0,100.0,100.0,spark;sql,hive;hadoop;数据仓库;linux,英语四级,"共同技能包括 spark, sql；缺少 hive, hadoop, 数据仓库, linux，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度偏低。"
R006,刘同学,本科,网络工程,广州,J009,数据仓库开发实习生,湘江云计算,长沙,59.94,8.23,93.08999633789062,46.42,33.33,100.0,100.0,60.0,100.0,100.0,sql;linux,hive;spark;hadoop;数据仓库,英语四级,"共同技能包括 sql, linux；缺少 hive, spark, hadoop, 数据仓库，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度偏低。"
R001,张同学,本科,数据科学与大数据技术,南昌,J009,数据仓库开发实习生,湘江云计算,长沙,54.82,8.51,89.69000244140625,45.04,16.67,100.0,100.0,60.0,100.0,100.0,sql,hive;spark;hadoop;数据仓库;linux,英语四级,"共同技能包括 sql；缺少 hive, spark, hadoop, 数据仓库, linux，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度偏低。"
R001,张同学,本科,数据科学与大数据技术,南昌,J010,商业数据分析师,南昌智选咨询,南昌,77.65,29.31,99.23999786376953,60.78,80.0,100.0,75.0,100.0,100.0,100.0,python;sql;数据分析;可视化,统计分析,英语四级,"共同技能包括 python, sql, 数据分析, 可视化；缺少 统计分析，建议补充相关练习或项目经验；学历满足岗位要求；经验年限略低于岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度中等。"
R012,黄同学,本科,数据科学与大数据技术,深圳,J010,商业数据分析师,南昌智选咨询,南昌,73.3,16.85,91.83999633789062,50.6,80.0,100.0,100.0,60.0,100.0,75.0,python;sql;数据分析;可视化,统计分析,英语四级,"共同技能包括 python, sql, 数据分析, 可视化；缺少 统计分析，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市不一致；证书匹配 英语四级；文本语义相似度中等。"
R005,陈同学,本科,信息管理与信息系统,南昌,J010,商业数据分析师,南昌智选咨询,南昌,71.28,26.16,98.30000305175781,58.62,60.0,100.0,75.0,100.0,100.0,100.0,sql;统计分析;数据分析,python;可视化,英语四级,"共同技能包括 sql, 统计分析, 数据分析；缺少 python, 可视化，建议补充相关练习或项目经验；学历满足岗位要求；经验年限略低于岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度中等。"
R002,王同学,本科,软件工程,南昌,J010,商业数据分析师,南昌智选咨询,南昌,65.03,14.14,93.36000061035156,49.79,40.0,100.0,100.0,100.0,100.0,100.0,python;sql,统计分析;数据分析;可视化,英语四级,"共同技能包括 python, sql；缺少 统计分析, 数据分析, 可视化，建议补充相关练习或项目经验；学历满足岗位要求；经验满足岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度偏低。"
R009,郑同学,本科,电子商务,南昌,J010,商业数据分析师,南昌智选咨询,南昌,63.23,14.51,97.55000305175781,51.88,40.0,100.0,75.0,100.0,100.0,100.0,sql;数据分析,python;统计分析;可视化,英语四级,"共同技能包括 sql, 数据分析；缺少 python, 统计分析, 可视化，建议补充相关练习或项目经验；学历满足岗位要求；经验年限略低于岗位要求；期望城市与岗位城市一致；证书匹配 英语四级；文本语义相似度中等。"
